DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/05/2016,8:56,,,40.7198636,-73.9448493,"(40.7198636, -73.9448493)",,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3366155,UNKNOWN,VAN,,,
01/05/2016,8:54,BROOKLYN,11217,40.6830499,-73.9737625,"(40.6830499, -73.9737625)",ATLANTIC AVENUE                 ,6 AVENUE                        ,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,3365452,PASSENGER VEHICLE,VAN,SPORT UTILITY / STATION WAGON,,
01/05/2016,8:53,BROOKLYN,11237,40.7054293,-73.9180908,"(40.7054293, -73.9180908)",SAINT NICHOLAS AVENUE           ,DE KALB AVENUE                  ,,1,0,0,0,0,0,1,0,Physical Disability,Physical Disability,,,,3365475,OTHER,OTHER,,,
01/05/2016,8:50,,,40.8494084,-73.8714355,"(40.8494084, -73.8714355)",,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,,,,3365276,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,8:50,,,40.7097865,-73.8204183,"(40.7097865, -73.8204183)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365601,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,
01/05/2016,8:50,QUEENS,11374,40.7361129,-73.8563817,"(40.7361129, -73.8563817)",HORACE HARDING EXPRESSWAY       ,102 STREET                      ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365685,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,8:50,BROOKLYN,11222,40.7226536,-73.9481649,"(40.7226536, -73.9481649)",ECKFORD STREET                  ,DRIGGS AVENUE                   ,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3366158,PASSENGER VEHICLE,UNKNOWN,,,
01/05/2016,8:49,BRONX,10451,40.8137456,-73.9313928,"(40.8137456, -73.9313928)",EAST 138 STREET                 ,EXTERIOR STREET                 ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3365184,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,8:45,,,,,,ROCKAWAY PARKWAY                ,SHORE PARKWAY                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3366041,OTHER,PASSENGER VEHICLE,,,
01/05/2016,8:45,BROOKLYN,11207,40.6620134,-73.8868147,"(40.6620134, -73.8868147)",VAN SICLEN AVENUE               ,HEGEMAN AVENUE                  ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365423,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,8:45,BRONX,10452,40.8439815,-73.9229549,"(40.8439815, -73.9229549)",UNIVERSITY AVENUE               ,BOSCOBEL AVENUE                 ,,0,0,0,0,0,0,0,0,Unspecified,,,,,3365230,BUS,SPORT UTILITY / STATION WAGON,,,
01/05/2016,8:42,,,,,,NEPTUNE AVENUE                  ,BAYVIEW AVENUE                  ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3365281,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,8:40,MANHATTAN,10003,40.7396742,-73.990946,"(40.7396742, -73.990946)",5 AVENUE                        ,WEST 20 STREET                  ,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3365098,OTHER,OTHER,,,
01/05/2016,8:40,BRONX,10454,40.8053681,-73.9218942,"(40.8053681, -73.9218942)",EAST 134 STREET                 ,BROWN PLACE                     ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365186,PASSENGER VEHICLE,UNKNOWN,,,
01/05/2016,8:35,,,,,,EAST 177 STREET                 ,BRONX RIVER PARKWAY             ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3365948,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
